delivery_date,sku_id,total_qty,Date,Open,High,Low,Close
20/4/2022,BK-1216,86,20/4/2022,3324.77002,3344.790039,3322.409912,3335.320068
21/4/2022,BK-1216,76,21/4/2022,3345.149902,3359.620117,3337.040039,3348.459961
22/4/2022,BK-1216,96,22/4/2022,3325.889893,3365.209961,3312.969971,3361.110107
23/4/2022,BK-1216,173,0,0,0,0,0
24/4/2022,BK-1216,0,0,0,0,0,0
25/4/2022,BK-1216,121,25/4/2022,3334.530029,3356.659912,3329.77002,3339.590088
26/4/2022,BK-1216,82,26/4/2022,3343.149902,3350.439941,3322.050049,3322.050049
27/4/2022,BK-1216,100,27/4/2022,3313.080078,3322.850098,3308.030029,3320.669922
28/4/2022,BK-1216,92,28/4/2022,3315.75,3344.23999,3315.070068,3335.090088
29/4/2022,BK-1216,117,29/4/2022,3368.100098,3389.639893,3344.679932,3356.899902
30/4/2022,BK-1216,194,0,0,0,0,0
1/5/2022,BK-1216,0,0,0,0,0,0
2/5/2022,BK-1216,166,0,0,0,0,0
3/5/2022,BK-1216,106,0,0,0,0,0
4/5/2022,BK-1216,132,4/5/2022,3365.429932,3366.929932,3342.909912,3349.27002
5/5/2022,BK-1216,56,5/5/2022,3371.23999,3373.149902,3338.610107,3343.570068
6/5/2022,BK-1216,62,6/5/2022,3295.919922,3305.719971,3289.919922,3291.889893
7/5/2022,BK-1216,176,0,0,0,0,0
8/5/2022,BK-1216,5,0,0,0,0,0
9/5/2022,BK-1216,109,9/5/2022,3279.360107,3294.879883,3270.72998,3275.070068
10/5/2022,BK-1216,89,10/5/2022,3251.040039,3251.310059,3226.5,3234.189941
11/5/2022,BK-1216,99,11/5/2022,3220.530029,3232.060059,3210.669922,3226.070068
12/5/2022,BK-1216,102,12/5/2022,3205.51001,3216.72998,3165.179932,3165.179932
13/5/2022,BK-1216,101,13/5/2022,3196.100098,3213.219971,3189.679932,3191.159912
14/5/2022,BK-1216,233,0,0,0,0,0
15/5/2022,BK-1216,3,0,0,0,0,0
16/5/2022,BK-1216,154,0,0,0,0,0
17/5/2022,BK-1216,92,17/5/2022,3199.72998,3218.73999,3190.919922,3201.889893
18/5/2022,BK-1216,113,18/5/2022,3219.97998,3241.830078,3214.139893,3225.350098
19/5/2022,BK-1216,85,19/5/2022,3194.659912,3218.139893,3177.090088,3190.709961
20/5/2022,BK-1216,95,20/5/2022,3214.02002,3246.129883,3210.75,3240.580078
21/5/2022,BK-1216,186,0,0,0,0,0
22/5/2022,BK-1216,1,0,0,0,0,0
23/5/2022,BK-1216,122,23/5/2022,3246.51001,3251.610107,3213.649902,3213.649902
24/5/2022,BK-1216,102,24/5/2022,3216.909912,3224.73999,3195.040039,3195.040039
25/5/2022,BK-1216,132,25/5/2022,3198.110107,3208.969971,3172.189941,3179.580078
26/5/2022,BK-1216,101,26/5/2022,3203.379883,3217.879883,3201.050049,3209.179932
27/5/2022,BK-1216,101,27/5/2022,3232.719971,3233.72998,3218.719971,3230.550049
28/5/2022,BK-1216,217,0,0,0,0,0
29/5/2022,BK-1216,1,0,0,0,0,0
30/5/2022,BK-1216,135,30/5/2022,3240.159912,3246.620117,3228.649902,3238.919922
31/5/2022,BK-1216,73,31/5/2022,3236.98999,3263.110107,3232.48999,3232.48999
1/6/2022,BK-1216,115,1/6/2022,3242.919922,3253.149902,3237.310059,3244
2/6/2022,BK-1216,115,2/6/2022,3233.050049,3243.76001,3217.75,3226.719971
3/6/2022,BK-1216,119,3/6/2022,3236.699951,3245.179932,3224.889893,3231.969971
4/6/2022,BK-1216,228,0,0,0,0,0
5/6/2022,BK-1216,5,0,0,0,0,0
6/6/2022,BK-1216,140,6/6/2022,3228.469971,3233.959961,3216.120117,3226.629883
7/6/2022,BK-1216,114,7/6/2022,3224.459961,3231.540039,3214.340088,3231.540039
8/6/2022,BK-1216,121,8/6/2022,3233.98999,3241.800049,3220.669922,3225.800049
9/6/2022,BK-1216,119,9/6/2022,3219.120117,3225.26001,3198.379883,3209.620117
10/6/2022,BK-1216,111,10/6/2022,3189.5,3192.560059,3176.169922,3181.72998
11/6/2022,BK-1216,225,0,0,0,0,0
12/6/2022,BK-1216,2,0,0,0,0,0
13/6/2022,BK-1216,129,13/6/2022,3161.610107,3165.540039,3138.540039,3139.350098
14/6/2022,BK-1216,82,14/6/2022,3124.25,3125.370117,3104.389893,3108.889893
15/6/2022,BK-1216,112,15/6/2022,3104.620117,3128.580078,3104.189941,3105.850098
16/6/2022,BK-1216,91,16/6/2022,3134.060059,3150.110107,3094.570068,3097.429932
17/6/2022,BK-1216,89,17/6/2022,3079.969971,3101.77002,3072.340088,3098.090088
18/6/2022,BK-1216,193,0,0,0,0,0
19/6/2022,BK-1216,4,0,0,0,0,0
20/6/2022,BK-1216,142,20/6/2022,3099.409912,3104.25,3086.449951,3096.399902
21/6/2022,BK-1216,77,21/6/2022,3108.669922,3127.26001,3102.840088,3117.47998
22/6/2022,BK-1216,105,22/6/2022,3121.300049,3132.169922,3092.840088,3093.310059
23/6/2022,BK-1216,88,23/6/2022,3107.080078,3124.449951,3092.800049,3092.800049
24/6/2022,BK-1216,104,24/6/2022,3107.570068,3115.72998,3100.209961,3111.649902
25/6/2022,BK-1216,225,0,0,0,0,0
26/6/2022,BK-1216,5,0,0,0,0,0
27/6/2022,BK-1216,141,27/6/2022,3128.719971,3142.310059,3120.389893,3137.540039
28/6/2022,BK-1216,63,28/6/2022,3127.48999,3145.169922,3124.219971,3140.209961
29/6/2022,BK-1216,103,29/6/2022,3125.860107,3154.76001,3123.899902,3134.870117
30/6/2022,BK-1216,71,30/6/2022,3131.929932,3138.209961,3102.209961,3102.209961
1/7/2022,BK-1216,109,1/7/2022,3104.25,3121.25,3089.399902,3095.590088
2/7/2022,BK-1216,221,0,0,0,0,0
3/7/2022,BK-1216,4,0,0,0,0,0
4/7/2022,BK-1216,140,4/7/2022,3106.389893,3127.350098,3104.429932,3120.23999
5/7/2022,BK-1216,73,5/7/2022,3130.72998,3135.050049,3099.439941,3104.110107
6/7/2022,BK-1216,103,6/7/2022,3112.030029,3124.570068,3096.379883,3103.659912
7/7/2022,BK-1216,99,7/7/2022,3096.889893,3129.399902,3093.469971,3129.399902
8/7/2022,BK-1216,94,8/7/2022,3139.409912,3141.090088,3121.73999,3131.26001
9/7/2022,BK-1216,212,0,0,0,0,0
10/7/2022,BK-1216,4,0,0,0,0,0
11/7/2022,BK-1216,152,0,0,0,0,0
12/7/2022,BK-1216,82,12/7/2022,3135.76001,3147.72998,3129.379883,3145.77002
13/7/2022,BK-1216,66,13/7/2022,3148.419922,3150.110107,3117.860107,3128.689941
14/7/2022,BK-1216,84,14/7/2022,3119.290039,3120.780029,3089.429932,3090.629883
15/7/2022,BK-1216,78,15/7/2022,3094.02002,3108.219971,3088.25,3099.149902
16/7/2022,BK-1216,201,0,0,0,0,0
17/7/2022,BK-1216,4,0,0,0,0,0
18/7/2022,BK-1216,132,18/7/2022,3113.969971,3126.209961,3112.01001,3121.76001
19/7/2022,BK-1216,66,19/7/2022,3109.949951,3124.870117,3108.429932,3117.790039
20/7/2022,BK-1216,92,20/7/2022,3135.209961,3170.290039,3170.290039,3170.290039
21/7/2022,BK-1216,79,21/7/2022,3165.22998,3166.280029,3144.77002,3152.300049
22/7/2022,BK-1216,101,22/7/2022,3162.959961,3186.570068,3162.959961,3181.340088
23/7/2022,BK-1216,210,0,0,0,0,0
24/7/2022,BK-1216,2,0,0,0,0,0
25/7/2022,BK-1216,139,25/7/2022,3176.01001,3209.76001,3175.47998,3180.469971
26/7/2022,BK-1216,86,26/7/2022,3174.909912,3192.120117,3192.120117,3192.120117
27/7/2022,BK-1216,95,27/7/2022,3188.050049,3207.320068,3178.669922,3205.139893
28/7/2022,BK-1216,92,28/7/2022,3216.98999,3225.350098,3203.72998,3220.649902
29/7/2022,BK-1216,106,29/7/2022,3238.149902,3244.290039,3199.959961,3211.560059
30/7/2022,BK-1216,228,0,0,0,0,0
31/7/2022,BK-1216,4,0,0,0,0,0
1/8/2022,BK-1216,166,1/8/2022,3215.419922,3254.48999,3211.139893,3238.75
2/8/2022,BK-1216,105,2/8/2022,3231.449951,3244.060059,3227.370117,3239.149902
