delivery_date,sku_id,total_qty
2021/1/12,BK-5350,0
2021/1/12,BK-5351,0
2021/1/12,BK-5440,5
2021/1/12,BK-5442,0
2021/1/12,BK-5443,0
2021/1/12,BK-5444,0
2021/1/12,BK-5445,0
2021/1/12,BK-5446,0
2021/1/12,BK-5447,0
2021/1/12,BK-5448,0
2021/1/12,BK-5449,0
2021/1/12,BK-5450,0
2021/1/12,BK-5451,0
2021/1/12,BK-5452,0
2021/1/12,BK-5453,0
2021/1/12,BK-6101,0
2021/1/12,BK-6220,0
2021/1/12,BK-6221,0
2021/1/12,BK-6222,0
2021/1/12,BK-6311,0
2021/1/12,BK-6320,0
2021/1/12,BK-6321,2
2021/1/12,BK-7812,6
2021/1/12,BK-9507,1
2021/1/12,BK-9508,0
2021/1/12,BK-9509,0
2021/1/12,BK-9511,0
2021/1/12,BK-9515,0
2021/1/12,BK-9516,0
2021/1/12,BK-9517,0
2021/1/12,BK-9518,0
2021/1/12,BK-9519,0
2021/1/12,BK-9520,0
2021/1/12,BK-9521,0
2021/1/12,BK-9522,0
2021/1/12,BK-9526,0
2021/1/12,BK-9528,0
2021/1/13,BK-1135,0
2021/1/13,BK-1211,0
2021/1/13,BK-1214,15
2021/1/13,BK-1215,0
2021/1/13,BK-1216,0
2021/1/13,BK-1217,0
2021/1/13,BK-1218,0
2021/1/13,BK-1320,30
2021/1/13,BK-1332,15
2021/1/13,BK-1333,10
2021/1/13,BK-1334,8
2021/1/13,BK-1341,16
2021/1/13,BK-1345,16
2021/1/13,BK-1346,0
2021/1/13,BK-1349,0
2021/1/13,BK-1350,0
2021/1/13,BK-1351,0
2021/1/13,BK-1411,36
2021/1/13,BK-1412,0
2021/1/13,BK-1414,0
2021/1/13,BK-1617,19
2021/1/13,BK-1619,17
2021/1/13,BK-1704,13
2021/1/13,BK-1810,1
2021/1/13,BK-1854,5
2021/1/13,BK-1860,13
2021/1/13,BK-1862,0
2021/1/13,BK-1863,12
2021/1/13,BK-1867,0
2021/1/13,BK-1871,0
2021/1/13,BK-1872,0
2021/1/13,BK-1876,0
2021/1/13,BK-1879,0
2021/1/13,BK-1880,0
2021/1/13,BK-1881,0
2021/1/13,BK-2215,0
2021/1/13,BK-2416,2
2021/1/13,BK-2723,6
2021/1/13,BK-2725,0
2021/1/13,BK-2742,0
2021/1/13,BK-3106,0
2021/1/13,BK-3147,0
2021/1/13,BK-3157,0
2021/1/13,BK-3165,0
2021/1/13,BK-3167,0
2021/1/13,BK-3169,0
2021/1/13,BK-3170,0
2021/1/13,BK-3242,43
2021/1/13,BK-3243,6
2021/1/13,BK-3263,0
2021/1/13,BK-3270,0
2021/1/13,BK-3271,0
2021/1/13,BK-3272,0
2021/1/13,BK-3273,0
2021/1/13,BK-3275,0
2021/1/13,BK-4123,0
2021/1/13,BK-4124,0
2021/1/13,BK-4204,0
2021/1/13,BK-4205,5
2021/1/13,BK-4207,0
2021/1/13,BK-4211,1
2021/1/13,BK-4214,1
2021/1/13,BK-4215,0
2021/1/13,BK-4218,0
2021/1/13,BK-5152,6
2021/1/13,BK-5159,8
2021/1/13,BK-5160,2
2021/1/13,BK-5161,1
2021/1/13,BK-5162,0
2021/1/13,BK-5195,2
2021/1/13,BK-5196,0
2021/1/13,BK-5197,1
2021/1/13,BK-5198,0
2021/1/13,BK-5201,0
2021/1/13,BK-5205,0
2021/1/13,BK-5206,0
2021/1/13,BK-5207,0
2021/1/13,BK-5208,0
2021/1/13,BK-5209,0
2021/1/13,BK-5210,0
2021/1/13,BK-5211,4
2021/1/13,BK-5212,8
2021/1/13,BK-5216,4
2021/1/13,BK-5217,2
2021/1/13,BK-5221,0
2021/1/13,BK-5292,17
2021/1/13,BK-5293,47
2021/1/13,BK-5297,0
2021/1/13,BK-5298,3
2021/1/13,BK-5299,10
2021/1/13,BK-5300,2
2021/1/13,BK-5301,13
2021/1/13,BK-5303,1
2021/1/13,BK-5308,0
2021/1/13,BK-5313,0
2021/1/13,BK-5316,2
2021/1/13,BK-5317,4
2021/1/13,BK-5322,0
2021/1/13,BK-5324,6
2021/1/13,BK-5328,3
2021/1/13,BK-5329,1
2021/1/13,BK-5330,4
2021/1/13,BK-5331,0
2021/1/13,BK-5332,0
2021/1/13,BK-5333,0
2021/1/13,BK-5334,2
2021/1/13,BK-5335,0
2021/1/13,BK-5337,0
2021/1/13,BK-5338,2
2021/1/13,BK-5339,4
2021/1/13,BK-5342,0
2021/1/13,BK-5348,0
2021/1/13,BK-5349,0
2021/1/13,BK-5350,0
2021/1/13,BK-5351,0
2021/1/13,BK-5440,4
2021/1/13,BK-5442,0
2021/1/13,BK-5443,0
2021/1/13,BK-5444,0
2021/1/13,BK-5445,0
2021/1/13,BK-5446,0
2021/1/13,BK-5447,0
2021/1/13,BK-5448,0
2021/1/13,BK-5449,0
2021/1/13,BK-5450,0
2021/1/13,BK-5451,0
2021/1/13,BK-5452,0
2021/1/13,BK-5453,0
2021/1/13,BK-6101,1
2021/1/13,BK-6220,0
2021/1/13,BK-6221,0
2021/1/13,BK-6222,0
2021/1/13,BK-6311,0
2021/1/13,BK-6320,0
2021/1/13,BK-6321,0
2021/1/13,BK-7812,7
2021/1/13,BK-9507,0
2021/1/13,BK-9508,1
2021/1/13,BK-9509,0
2021/1/13,BK-9511,0
2021/1/13,BK-9515,0
2021/1/13,BK-9516,0
2021/1/13,BK-9517,0
2021/1/13,BK-9518,0
2021/1/13,BK-9519,0
2021/1/13,BK-9520,0
2021/1/13,BK-9521,0
2021/1/13,BK-9522,0
2021/1/13,BK-9526,0
2021/1/13,BK-9528,0
2021/1/14,BK-1135,0
2021/1/14,BK-1211,0
2021/1/14,BK-1214,18
2021/1/14,BK-1215,0
2021/1/14,BK-1216,0
2021/1/14,BK-1217,0
2021/1/14,BK-1218,0
2021/1/14,BK-1320,25
2021/1/14,BK-1332,12
2021/1/14,BK-1333,11
2021/1/14,BK-1334,5
2021/1/14,BK-1341,16
2021/1/14,BK-1345,0
2021/1/14,BK-1346,0
2021/1/14,BK-1349,0
2021/1/14,BK-1350,0
2021/1/14,BK-1351,0
2021/1/14,BK-1411,1
2021/1/14,BK-1412,0
2021/1/14,BK-1414,0
2021/1/14,BK-1617,18
2021/1/14,BK-1619,12
2021/1/14,BK-1704,13
2021/1/14,BK-1810,1
2021/1/14,BK-1854,6
2021/1/14,BK-1860,15
2021/1/14,BK-1862,0
2021/1/14,BK-1863,8
2021/1/14,BK-1867,0
2021/1/14,BK-1871,0
2021/1/14,BK-1872,0
2021/1/14,BK-1876,0
2021/1/14,BK-1879,0
2021/1/14,BK-1880,0
2021/1/14,BK-1881,0
2021/1/14,BK-2215,0
2021/1/14,BK-2416,3
2021/1/14,BK-2723,1
2021/1/14,BK-2725,0
2021/1/14,BK-2742,0
2021/1/14,BK-3106,0
2021/1/14,BK-3147,0
2021/1/14,BK-3157,0
2021/1/14,BK-3165,0
2021/1/14,BK-3167,0
2021/1/14,BK-3169,0
2021/1/14,BK-3170,0
2021/1/14,BK-3242,38
2021/1/14,BK-3243,6
2021/1/14,BK-3263,0
2021/1/14,BK-3270,0
2021/1/14,BK-3271,0
2021/1/14,BK-3272,0
2021/1/14,BK-3273,0
2021/1/14,BK-3275,0
2021/1/14,BK-4123,0
2021/1/14,BK-4124,0
2021/1/14,BK-4204,0
2021/1/14,BK-4205,5
2021/1/14,BK-4207,1
2021/1/14,BK-4211,0
2021/1/14,BK-4214,0
2021/1/14,BK-4215,0
2021/1/14,BK-4218,0
2021/1/14,BK-5152,4
2021/1/14,BK-5159,9
2021/1/14,BK-5160,2
2021/1/14,BK-5161,0
2021/1/14,BK-5162,0
2021/1/14,BK-5195,0
2021/1/14,BK-5196,0
2021/1/14,BK-5197,0
2021/1/14,BK-5198,0
